b,g,r,result
170,171,185,kulleme
169,170,184,kulleme
169,170,184,kulleme
169,170,184,kulleme
169,170,184,kulleme
170,171,185,kulleme
169,170,184,kulleme
169,170,184,kulleme
167,168,182,kulleme
167,168,182,kulleme
166,167,181,kulleme
166,167,181,kulleme
166,167,181,kulleme
165,166,180,kulleme
163,164,178,kulleme
160,163,177,kulleme
155,158,172,kulleme
151,157,170,kulleme
148,154,167,kulleme
144,150,163,kulleme
140,149,159,kulleme
137,146,156,kulleme
134,144,154,kulleme
132,142,152,kulleme
126,139,147,kulleme
123,136,144,kulleme
117,133,140,kulleme
114,130,137,kulleme
110,128,135,kulleme
110,128,135,kulleme
108,128,133,kulleme
106,128,133,kulleme
106,128,134,kulleme
104,128,134,kulleme
105,129,135,kulleme
94,119,129,kulleme
94,119,129,kulleme
93,118,128,kulleme
92,117,127,kulleme
92,117,127,kulleme
92,117,127,kulleme
92,117,127,kulleme
92,117,127,kulleme
91,115,127,kulleme
91,115,127,kulleme
91,115,127,kulleme
91,115,127,kulleme
92,116,128,kulleme
92,116,128,kulleme
93,117,129,kulleme
93,117,129,kulleme
93,117,129,kulleme
93,117,129,kulleme
93,117,129,kulleme
93,117,129,kulleme
94,118,130,kulleme
94,118,130,kulleme
94,118,130,kulleme
94,118,130,kulleme
95,119,131,kulleme
95,119,131,kulleme
95,119,131,kulleme
95,119,131,kulleme
96,120,132,kulleme
96,120,132,kulleme
96,120,132,kulleme
97,121,133,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
97,120,135,kulleme
96,119,134,kulleme
96,119,134,kulleme
96,119,134,kulleme
98,119,134,kulleme
98,119,134,kulleme
